iso3,wikipedia_url,http_status,final_url
VAT,https://en.wikipedia.org/wiki/Vatican_City,200,https://en.wikipedia.org/wiki/Vatican_City
HND,https://en.wikipedia.org/wiki/Honduras,200,https://en.wikipedia.org/wiki/Honduras
HUN,https://en.wikipedia.org/wiki/Hungary,200,https://en.wikipedia.org/wiki/Hungary
ISL,https://en.wikipedia.org/wiki/Iceland,200,https://en.wikipedia.org/wiki/Iceland
IND,https://en.wikipedia.org/wiki/India,200,https://en.wikipedia.org/wiki/India
IDN,https://en.wikipedia.org/wiki/Indonesia,200,https://en.wikipedia.org/wiki/Indonesia
IRN,https://en.wikipedia.org/wiki/Iran,200,https://en.wikipedia.org/wiki/Iran
IRQ,https://en.wikipedia.org/wiki/Iraq,200,https://en.wikipedia.org/wiki/Iraq
IRL,https://en.wikipedia.org/wiki/Ireland,200,https://en.wikipedia.org/wiki/Ireland
IMN,https://en.wikipedia.org/wiki/Isle_of_Man,200,https://en.wikipedia.org/wiki/Isle_of_Man
ISR,https://en.wikipedia.org/wiki/Israel,200,https://en.wikipedia.org/wiki/Israel
ITA,https://en.wikipedia.org/wiki/Italy,200,https://en.wikipedia.org/wiki/Italy
JAM,https://en.wikipedia.org/wiki/Jamaica,200,https://en.wikipedia.org/wiki/Jamaica
JPN,https://en.wikipedia.org/wiki/Japan,200,https://en.wikipedia.org/wiki/Japan
JEY,https://en.wikipedia.org/wiki/Jersey,200,https://en.wikipedia.org/wiki/Jersey
JOR,https://en.wikipedia.org/wiki/Jordan,200,https://en.wikipedia.org/wiki/Jordan
KAZ,https://en.wikipedia.org/wiki/Kazakhstan,200,https://en.wikipedia.org/wiki/Kazakhstan
KEN,https://en.wikipedia.org/wiki/Kenya,200,https://en.wikipedia.org/wiki/Kenya
KIR,https://en.wikipedia.org/wiki/Kiribati,200,https://en.wikipedia.org/wiki/Kiribati
KWT,https://en.wikipedia.org/wiki/Kuwait,200,https://en.wikipedia.org/wiki/Kuwait
KGZ,https://en.wikipedia.org/wiki/Kyrgyzstan,200,https://en.wikipedia.org/wiki/Kyrgyzstan
LAO,https://en.wikipedia.org/wiki/Laos,200,https://en.wikipedia.org/wiki/Laos
LVA,https://en.wikipedia.org/wiki/Latvia,200,https://en.wikipedia.org/wiki/Latvia
LBN,https://en.wikipedia.org/wiki/Lebanon,200,https://en.wikipedia.org/wiki/Lebanon
